text,label
salah wisata pantai kenal orang letak bantul dekat pantai parang kusuma pantai eksotik sepi unjung hampar pasir putih pantai tawan pasuk area bibir pantai bikin takjub dg pandang kiri kanan penuh pohon kering khas pesisir sambut lorong jg cocok acara campingselain hampar bukit pasir putih jg daya tarik sendiri,positive
fasilitas buruk pantai sampah parhanya pungli,negative
kotor tangan serius,negative
beda skrg kotor kumuh kecewa,negative
banyak unjung tuh bibir pantai pas sunset tutup payung enak lihat moga tertib,negative
lihat matahari tenggelam siip,positive
pantai indah letak jogjakarta ayoodong mampir kesini olah hasil pantai ikan undur undur kepiting mejual cinderamata khas pantai khawatir parkir jamin aman keren karna pohon cemara tani pantai pasir putih,positive
rekreasi murah riah,positive
pantai cianjur selatan pasir hitam ombak larang renang fasilitas toilet bersih mobil angkut pasir awat bersih sampah nelayan tiada perahu,negative
dapet kenang kenang bebatuan kepleset jari kaki kiri luka lecet,negative
sampah pinggir pantai masuk 10rb bersih pantai jaga kayak pantai belah sampah,negative
tata rapi rusa ajar anakanak,positive
tiket maha masak sampek 25000 orang tempetparkirnya kondisi,negative
panas kurang beground foto air bannyak rumput laut sera,negative
bagus suasana alam pantai ci jeruktp sayang tokoh masyarakatny bijaksana suka main cwanaknya korban kasiandosa lhomikir,negative
mantap ramai unjung,positive
mohon bantu hilang dompet topi simpan kursi pantai bawah batu batu mohon bantu temu harap kirim alamat dompet isi kartu ajar uang kartu ajar isi alamat,negative
kecewa 16 mobil sdh lokasi loket,negative
dateng pas weekend rame bangettttsss area pasir pinggir pantai payung tikernya nyewa istirahat nyantai mending pindah pantai hehe,negative
pantai bagus sayang naruh sepatu motor udah tutup jaket sepatu ilang yaudah plg nyeker gpp ikhlas mngkin butuh,negative
pantai bagus kotor inap jangkau jual air panas termos harga 15 rb,negative
nyaman rekreasi keluarga,negative
pantai indah objek baru kota jogja hutan cemara pasir putih,positive
lumayan bagus nyah,positive
pantai kotor awat suasana mati hibur baik parkir luasharga masuk jangkau mohon perintah benah fasilitas infrastruktur wilayah pantai marina,negative
indah sampah kelola,negative
awat kaya foto empang,negative
marina bersih rapi asik tempat,positive
layak kunjung wisatawan pancing cocok pancing,negative
bagusdan bersih sampah pepohonanjadi tdk panas nikmat pandang laut bawah pohontiap slalu unjung situ jg utk larung abu jenasah habis kremasi perahu utk sewa abu bawa keluarga perahu tengah laut abu turun air selesai sdh acara larung abu jenasah perahu tepi,positive
bersih tata layak banyak pesisir pantai semarang pasir hitam,positive
bagusbisa santa keluarga temanteman,positive
biaya retribusi kawasan pantai 15rb orang pantai kukup rekomendasi main air bibir pantai karang rumput laut,negative
spot pantai bagus anak hits prewed,positive
peristiwa sejarah,positive
view indah mantap adrenalin terjang ombak,positive
pantai bersih pantai belah nama pantai pantai kenal orang bukti weekend kunjung kesini,positive
wisata kelola bangun biaya karcis mahal pungli liar sangkut mohon baik,negative
