reviewContent,label,rating
2 star saja,negative,2
pkok'ya puas banget belanja di java elektronik...asli 100 % walaupun agak lama pngriman'ya...dan kurir'ya sangat ramah...top banget deh,positive,5
"bareng cepat sampenya, packing a rapi, tv a kecil pas buat dkamar n semoga awet..",negative,3
"Mantap, gambar jernih kualitas bagus. Pengiriman cepat, cuman kurir lex id yang ini agak judes sombong beda sama kurir lex id yang langganan saya",positive,5
Pngiriman cepat thnks lazada,positive,5
Readi enggak sist? Warnanya apa-apa saja? Ini orisinal atau kau yang mudah rusak gan?,negative,3
pengiriman cepat barang sesuai dengan yang dipesan cuma untuk pakai voucher hooxnya saja yang belum bisa walau sudah verifikasi by email,positive,5
"Pengiriman super cepat, barang original.",negative,3
brangkas tidak bisa dipakai,negative,1
barang bagus... pengiriman super cepat cuma 2 hari langsung sampai....,positive,5
Recommended Seller,positive,5
"jaringan wifinya tidak berfungsi dengan baik, padahal saya menggunakan wifi yang sama di handphone saya jringannya cukup baik tapi kalau di tv ini enggak bisa memuat sama sekali",negative,2
Ditunggu barang nya,negative,3
saya sudah dua kali ini beli laptop asus di lazada dan dua-dua nya mati yang ini baru dipakai belum ada seminggu sudah mati saja jadi harus dibawa ke service center nya! yang pertama setelah 2bulan mati dibawa ke SC dan menginap selama 2bulan baru dipulangkan bagusnya sih komp saya diganti mesinnya dalam hal ini asus cukup bertanggungjawab tapi 2bulan loh  enggak kerja dua bulan ya! setelah dua kali ini saya rasa bukan suatu ketidaksengajaan deh entah produk asus nya atau lazada nya,negative,2
"pengiriman aman, gambar bagus. terima kasih Lazada dan Cooca. Sukses dan semakin maju ke depannya amin!melipat_tangan!!melipat_tangan!!melipat_tangan!",positive,5
barang sudah diterima dengan packing yang rapi dan fungsi berjalan normal,positive,4
"Tanya jawab oke. waktu order dibatalkan, bagaimana sih.. enggak profesional",negative,1
"Barang sudah saya terima & sudah saya pakai buat dipasangin HardDisk internal bekas laptop saya yang enggak kepakai...   Packing sangat aman & rapi, dan pengirimannya pun Lebih cepat dari hari yang diperkirakan ^_^ #overall_GoodJob",positive,5
"tv saya terima dalam kondisi lengkap.. saya coba hidupkan dan mencari saluran.. tapi setelah setengah jam saya nyalakan, gambar hilang.. hanya ada suara.. saya sudah coba untuk melihat pengaturan pada remote.. tetap tidak bisa.. malah terkadang suara juga hilang.. menyala tapi layar tidak ada gambar dan suara.. kecewa sekali.. kemana harus saya tukar",negative,1
