text,label
pantai cipta semarang lokasi jalur pantura malam pos security uang limaribuperorang jalan masuk rusak parah tanah gelombang parah kendara berat kontainer hujan parah utara semananjungnya kotor pantai malam lumayan lampu kelap kelip jauh angin sepoi sepoi,negative
spot mancing rucah ikan,positive
pantai jelek awat kelola tapi pungli kwkewk,negative
bagus tempat klo kelola bagus ramai sayang jalan batutanah bayang klo pas musim ujan kekmana becek,negative
kawasan teler tp jln enas parah,negative
pantai lumayan bagus air lumayan bening jalan masuk rusak pungli 5000 oknum ajar malak kedok security hatihati warga kunjung siapsiap lawan oknum ajar pantai kelola sbg wisata 5000 htm harga tiket masuk bukti tiket resmi pungut liar,negative
tarik view bagus nongkrong keluarga teman cocok jajan warung pantai,positive
senja bagus akses jalan hatihati pantai hidden gem cocok nyunset semarang,positive
jalan rusak lokasi,negative
salah spot senja baik kota semarang main air spot mancing warung dekat fasilitas kamar mandi kesini keluarga cocok sore pasangan2 cinta senja cocok bgtsambil gitar ngopi2 lokasi mudah jangkau musim rob musim hujan jalan licin pintu masuk truk2 kontainer gt skrng warung terdekatserta sewa perahu antar rumpon spot mancing tengah laut sna lihat kapal feri kapal2 lainnyamantap,positive
begitulahtidak awat pantai,negative
jalan udah bagus,positive
angin sepoi sepoi mantappp kemarin kesana sepi ndak uang parkir uang masuk pantai mes jalan kesana overall oke sihh,positive
bagus spot mancing tarik,positive
lumayan sport mancing santai enak sepi konon 24 jam pantai ngak pantai belah,positive
jalan pantai brutal pantai kotor sampah sadar masyarakat buang sampah sembarang air butek mata pandang air ku bersih kotor sesuai google google foto bagus indah eh pas tadengin kotor,negative
pandang bagus asri,positive
pandang bangus bnget,positive
kelola perintah,negative
tata kelola sedia sampah mck bersih,negative
bagus jalan baik cor marina biar enak mancing,negative
wisata tarik kunjung,positive
keren banget asli pas senja dateng,positive
jalan jelek berkelombang dukung pancing wisata truck kontainer,negative
pelihara kotor aman pantai,negative
pantai indah semarang sunset indah senja cocok self talk pasang rasa keluarga main air batu sekitar pantai ramah anak anak akses kesan ngebut pasuk area pantai stay safety,positive
pantai cipta surga angler kota semarang potensi strike salur hoby mancing pantai cipta tarik kunjung wisata pantai dar lihat main air laut siang panas pagi sore sayang kelola biar untung unjung kena biaya 5k motor 10k mobil weekend sebut pungli manfaat baik fasilitas mck sampah moga wenang kait tata jadi sumber dapat daerah ketimbang nikmat orang orang,negative
lokasi cenderung spot pancing awat sampah sayang spot bagus siluet kapal labuh,negative
masuk pungli retribusi tp gada tiket raka satpam kawasan,negative
pantai cipta bagus libur keluarga enak mancing sayang banyak pungli satpam klw kasih langsung kata2 mutiara,negative
cocok sunrise pagi,positive
cocok gabut spot mancing,positive
tempat kotor sampah,negative
view lumayan bagus jalan pantai jeleksangat susah lalu lalanng kendara besartruk2 kontainer baik jalan,negative
tempat asik mancing karna sepi unjung tempat labuh liat2 kapal perahu nelayan,positive
kota pinggir laut pantai indah,negative
pantai wisata kotor kumuh jalan pantai rusak parah lubang2 jalan lebar biaya retribusi parkir 5000 satpam keliling pantai unt uang retribusi unjung saran mending barat pantain tirang bersih rapi indah jamin 100 nyesel pantai tp pancing cocok,negative
pinggir pantai kotor suasana segarbagus mancing santai2,positive
cocok mancing ikan laut ikan muara,positive
bagus liat sunsettp jalan pantai jelek poll,negative
lumayan bagus klau habis kunjung tinggal sampah ygy,positive
senja bagus bangettt,positive
kawasan penuh lumpur debu,negative
pandang bagus cuman kotor tempat,negative
layak kawasan pergudangantidak layak lik,negative
