content,label
"saya puas dengan pelayanan dari tokoh ini. awalnya saya chat pertanyakan ketersediaan barang ini ready, tapi begitu saat pengiriman barang tidak tersedia. saya diberikan solusi barang dengan model dan tipe yang berbeda. Namun tokoh langsung menyediakan barang sesuai permintaan saya.Walaupun tidak sesuai dengan estimasi waktu yang saya pesan sameday. Akhirnya barang pesanan saya di kirim juga sesuai dengan harapan saya.Terima kasih seller Doa kita bersama semoga makin sukses dan barang awet saya pakai.terima kasih seller ... GOD JOBSBisa muat banyak. Barangnya original ??. Mutu terjamin SNI. Ada garansi resmi. Gampang dipakai. Desainnya elegan ?. Hemat listrik ?.",Positive
Barang nya kau!!! Lengket sangat lemah beda dengan 3M orisinal,Negative
"pembelian pertama, pelayanan terburuk. respon lama, kirim lama",Negative
Kualitas Product Bagus. Material bagus. Recomended. Harga terjangkau!.,Positive
"Bagus banget dan nyaman untuk baby, Sangat worth itu dengan harganya ????Bahannya nyaman ??. Desain ergonomis. Nyaman di punggung. Gampang dipakai. Beban tersebar merata. Bahannya fleksibel. Proses pesanan cepat. Penjualnya ramah banget. Packaging aman ??. Packaging rapi. Respon penjualnya top.",Positive
"Bahannya adem, stretch, worth tapi buy untuk harga segini, yang hitam lebih bagus dibanding yang putih",Positive
Kualitas Produk Bagus.,Positive
suka banget. terima kasih kak,Positive
Enak dipakai cocok dengan wajah saya...mantap,Positive
Nyaman banget dipakai Tetap bisa gerak maksimal Kualitas bahan bagus,Positive
good Ban jadi hitam kembali! Mantap.,Positive
dijamin asli barangnya cuma packingnya pengirimannya sederhana sekali?? sampai ada lembar soal anak sd,Positive
Barang bagus dan berfungsi dengan baik. Hasil pengepelan juga bersih. Pengiriman cepat.,Positive
"rekomendasi banget toko ini kiriman cepat, insya allah langganan",Positive
"awalnya dikirim kurang, untung ada video unbox. proses komplain nya lama, barangnya bagus tapi pelayanan tokonya jelek",Negative
"lampunya berfungsi, nyala lumayan remang-remang, kekuatan batere di jemur seharian cuma 4 jam. Barang yang sampai soket bautnya patah jadi sedikit terbuka.",Negative
Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive
"Yang penting keluar suara deh. Soal kualitas suara maaf ya, mungkin mirip sama mainan anak-anak berbentuk Handphone.",Negative
"Barangnya bagus banget, sesuai sama harga, gagangnya juga kokoh banget dan kelihatannya kayak bagus begitu",Positive
Warna sesuai pic Cantik,Positive
"mantab spidolnya , jadi enggak hilang tulisan walau tulisannya di masukkan kulkas (plastik ASI)",Positive
"sepertinya bukan gepuk fresh, rasanya enggak enak dan 3 hari kemudian deh berjamur... sayang banget padahal beli banyak dibuang semua deh",Negative
"Trm kasih brgnya sudah sampai, pengiriman cepat kemarin pesan hari ini sampai, double bubblewrap, penjual responsif dalam QA, kurir oke lah via COD.",Positive
lumayan cukup bagus sesuai hrga lah ya agak tipis yang hitam tapi bagus kok semoga enggak rembes dpake hujan2,Positive
"untuk produk untung datang nya bagus,untuk pengemasan buruk banget,bisa di bilang enggak layak,dan agak penyok kotak nya,kayak bekas pakai",Negative
bagus pengiriman rapi cuma enggak sameday ya kayanya kemarin saya meminta same day... tapi suka sama sellernya sesuai ekspetasi,Positive
"agak kecewa sih....di gambar bisa tarok tas, aslinya mleot kalau beban berat...gantungan baju enggak bisa lah kecuali gantungan ukuran kecil....bahan nya tipis ....tapi begitu lah",Negative
Kulit jadi cerah. Cepat meresap. Cocok di kulit kombinasi. Cocok di kulit berminyak. Kemasannya lucu ??. Penjualnya ramah banget. Cocok di kulit normal. Proses pesanan cepat. Cocok di kulit kering. Respon penjualnya top. Cocok di kulit berminyak. Packaging rapi. Packaging aman ??.,Positive
"kecewa sama barangnya, suara yang di keluarkan enggak bisa gede, padahal sudah paling maksimal",Negative
"puaas selalu langganan disini bikin duplikat akses ku , proses cepat , eh ada bonus nya juga ya , terima kasih kak ??",Positive
Bahannya tebal. Bahannya lembut. Warnanya cantik ??. anti slip. Ukuran sesuai.,Positive
Ukuran sesuai. Tidak menerawang. Bahan menyerap keringat. Jahitannya rapi. Warnanya bagus ??.,Positive
pesan 3 yang datang 1 parah,Negative
"pesan hitam dikirim putih..parah. mau direturn enggak keburu, soalnya barang tersebut buat kado ultah hari ini. Makanya saya pakai same day. Padahal sudah saya ingatkan loh, tolong dicheck dulu sebelum dikirim...",Negative
"Mantab, produk sesuai deskripsi, material produk krg rapi, packing aman dan pengiriman cepat, thx seller",Positive
Tipis banget bahan parasutnya. Dan tidak ada keterangan penjelasan tebal atau tipisnya. Mungkin seller perlu perjelas.,Negative
"mobil bukan asli hot wheels, saya kira aslinya",Negative
"Packing kurang aman, handle patah,memang bahan plastiknya ringkih sih, maklum. Pengiriman lumayan cepat.",Negative
ada bekas sobek di bagian belakang meskipun itu sobek kecil tapi tatap saja saya sedikit kurang puas terimakasih,Negative
Mantap jiwa bang,Positive
Ikannya mati jadi saya kecewa ah,Negative
Sangat kecewa dengan pengiriman yang sangat lama dan sangat sangat bermasalah di ekspedisi pengiriman si*sih**at dan penjual tidak fast response.,Negative
pengiriman cepat dan packing sangat rapi walau hanya beli 1 item saja. Rekom banget gaes,Positive
bahan nya bagus banget,Positive
Produk Original. Barang Sesuai Deskripsi. Bahan tebal. keren..,Positive
"pesan godly grey malah datang nya lovely brown , enggak teliti banget admin nya",Negative
Pengiriman pertama leak sampai isi habis dikirim barang pengganti masih leak parfum habis juga dua kali dapat botol kosong,Negative
bukan orle yang dikirim. payah,Negative
bahan tidak kulit. tidak sesuai iklan.,Negative
"whiteboard melengkung, alumunium bengkok, skrup hilang, mutu rendah sekali, jauh dari gambar & deskripsi",Negative
"tidak sesuai foto, tidak ada tulisan photofast. bahan tipis ringkih.",Negative
"packaging enggak aman banget, bubble wrap tipis alhasil kemasan barang agak penyok pas datang, thank god barangnya aman. ini official store seharusnya lebih baik lagi, fix min next duh.",Negative
"Sip lah. Barang sesuai. Bahannya spundbond. pesan 1, dapat ukuran -+ 110cm�160cm. Hanya saja di beberapa bagian ada yang sobek sedikit. Overal Positive. Thanks, Impodio!",Positive
"sampai sekarang barang belum sampai,halu expres blgnya sudah mau tanggung jawab dengan membayar ke tokopedia tapi dari tokopedia enggak ada transfer penggantian...enggak ada yang tanggung jawab",Negative
"Alhamdulillah sudah sampai sabuknya, keren cepat sampainya pada hal baru kemarin sore pesannya .",Positive
bukunya sampai di makassar rusak ujungnya. Baru sempat unpack ?? entah cara packing nya kurang tebal orang kurirnya bermasalah. Agak enggak rela sih.. soalnya bukunya lumayan mahal,Negative
Packing rapi terimakasih,Positive
"Proses pesanan cepat,Packaging aman ,Packaging rapi",Positive
"respon cepat, paket nya juga rapi dan dikirim dengan baik, terima kasih ??",Positive
"MAC HANCUR, PADAHAL SUDAH ada BUBBEL. karena KARDUS CUMAN menempel doang DI MAC, jadi KETINDIH2 PECAH",Negative
"Puas banget dengan sofa-nya.. bagus.. dan adminnya sangat membantu, saya meminta tolong sebelum tahun baru, dan benar hari ini barang langsung sampai.. terima kasih banyak..",Positive
Kecewa barang pas sampai enggak bisa dipakai,Negative
PENGIRIMAN LAMA! meminta DICANCEL tapi MAKSA tetap mengirim!!!,Negative
kotaknya jelek! penyok! bungkus seadanya doang,Negative
"kado.harga paling murah pada saat beli , terima kasih, semoga bisa langganan. dan harganya bisa terbaik terus se tokped",Positive
enggak tahan lama...1/2 mg setelah beli sudah rusak,Negative
warnanya kusam ternyata...,Negative
"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive
ada yang cacat satu lubang,Negative
baru sekali pakai pas dicuci robek ??,Negative
Potongannya rapi. Ukurannya sesuai. Warnanya cantik ??. Bahannya adem. Produk berkualitas. Produk sesuai dengan foto.,Positive
"sudah langgganan banget belanja imboost disini, semoga laris manis jualannya ya kak. terima kasih ????????????????????????",Positive
"paking rapi banget sama berlapis2 ??. pengiriman cepat,barang pas 40pcs. mantul langganan ini mah. nanti malam takbiran pesan lagi ??.",Positive
"barang original,aseli dan aman",Positive
"Buku bagus, baru cek sekilas dalamnya tapi enggak ada masalah sih kayaknya. b4 karena detail covernya agak rusak begitu. ya itu saja sih keluhannya",Positive
alhamdulillah barangnya sudah sampai... di coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive
"Nyaman dipakai ?? Bahannya enak, fitting buat lari banget. Kekecilan sebenarnya, tapi tenang ada garansi 45 hari & bisa tuker size Produk original ??",Positive
"semua pesanan bocor, sudah di video sama pengiriman....kacau....jadi beli rugi....barang sisa setengah...",Negative
Tidak dikirim lilin nya padahal sudah beli,Negative
"console sebelah kanan analoq ya drift sendiri lecet juga, ng recommend deh.. kapok",Negative
bocor payahlah enggak di periksa dulu,Negative
"Tulisannya 64gb tapi isinya cuma 8gb,,, disuruh di cek... kagak di cek,, capek dweh..",Negative
"Packingnya sangat jelek, barang yang diterima kotaknya sudah peot peot, karena rencananya barang ini untuk hadiah.",Negative
Toko ini barangnya lengkap dan benaran tersedia. Kadang ada toko lain lengkap tapi pas dikirim banyak yang enggak ada. Ini lengkap. Recommended Seller.,Positive
"barang jelek, belum di pakai sudah pada patah",Negative
"Buku pasti orisinal, sesuai pesanan, proses pengiriman cepat, dapat harga murah pas bookcarnaval.",Positive
Di aplikasinya enggak bisa kelihatan kalo pintu lagi ke buka atau enggak.Tapi automationnya lumayan lengkapnlah,Positive
"mantap, barang bagus, pack juga aman banget. benar-benar recommended seller deh buat mencari playing card yang keren-keren begini.",Positive
"Barang nya sudah di coba, tapi tidak bisa berpungsi dengan baik, enggak bisa conek dengan iphone saya.",Negative
Dendeng yang saya terima ada beberapa yang muncul jamur putih di dipermukaan dagingnya. Untuk rasa banyak sekali ketumbarnya sehingga waktu dimakan rasanya kasar sekali. Seller mohon diperhatikan kualitas produk sebelum dijual. Terima Kasih.,Negative
Paket gepeng gosend enggak benar Pelayanan kurang bertanggung jawab done.,Negative
sudah pembelian ke2 nih,Positive
Barang bagus banget asli dengan harga sgni dapat quality wireles microphone kayak begini the best,Positive
saya tidak pernah dikecewakan oleh toko ini. pokoknya untuk urusan videografi dan fotografi saya senang belanja di sini,Positive
Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive
Barang yang diterima dalam kondisi yang tidak diinginkan.Pecah di salah satu tuts nya.,Negative
Bahan bukan katun asli,Negative
"enggak sesuai expetasi, lebih mirip singlet daripada tanktop, beli putih 2, hitam 2 yang dikirim hitam semua padahal sebelum order sudah tanya saat cekout juga yang dipilih hitam, putih, packing rapi , pengiriman agak lama , penjual responsif",Negative
Menggunakan bahan alami. Tidak memicu alergi. Tanpa bahan pengawet. Aman untuk bayi ??.,Positive
"Ramah, pelayanan cepat, packaging rapi dan aman, pesanan pun sesuai dengan catatan. Terbaik, request pakai kertas kado dan kartu ucapan pun fre of charge. Belum pernah failed sih beli disini.",Positive
"Harganya ok banget + dapat cashback lagi! Very fast response, enggak ada kendala check ini. Mantap!",Positive
"Kualitas sangat bagus sekali, sama seperti di foto. Pengiriman juga sangat cepat. Mantap lah pokoknya..",Positive
"Selalu puas belanja disini, sudah ketiga kalinya beli disini. Pengiriman cepat, respon cepat.",Positive
enggak nyala,Negative
"thanks,barangnya bagus banget dan packingnya rapi,tekomended??????????",Positive
mantul.... Kualitas bahan mantap ??.,Positive
"Permukaan screen guard agak kasar. Tisu basah nya sudah kering, packing aman dan pengiriman cepat",Positive
