Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,text,Sentiment,Emotion
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Kab. Bandung Barat,50000,4.9,5675,1776,5,pengiriman cepat buku dalam kondisi baik,Positive,Happy
Books,Buku Ajar Mata Kuliah Pendidikan Agama Islam,Kab. Bandung Barat,50000,4.9,5675,1776,4,"puas , cuma untuk kemasanya kurang aman ya karna tidak pakai bublewrap , pake map coklat gitu , mapnya sobek ujung nya untung bukunya aman",Positive,Happy
Books,Star Wars Trilogy White Leather (Exp),Jakarta Barat,999000,5.0,9,4,5,"Barang original dan masih segel, proses cepat, tidak sampai satu hari barang sudah sampai padahal pengiriman menggunakan bebas ongkir, barang dibungkus dengan bubble wrap tebal saat pengiriman, jadi aman.",Positive,Happy
Books,BUKU 1984 - GEORGE ORWELL,Jakarta Selatan,89000,4.9,163,119,4,Puas sih.. Recomended bukunya,Positive,Love
Books,THE BOOK OF IKIGAI,Jakarta Selatan,69000,4.9,930,538,5,"buku original, harga sangat murah jauh dibandingkan ditempat lain, seller ramah, packing rapi, buble wrapnya sangat tebel banget, puas Maksimal. terima kasih seller",Positive,Love
Books,THE BOOK OF IKIGAI,Jakarta Selatan,69000,4.9,930,538,4,"isi buku sangat berkualitas. buku diterima baik walaupun packaging hanya dibungkus bubble wrap. beruntung tidak basah kehujanan, packaging perlu ditingkatkan keamanannya.",Positive,Happy
Books,Segala - galanya Ambyar -Sebuah Buku tentang harapan,Jakarta Timur,90000,4.9,775,453,5,"Buku pasti ori, sesuai pesanan, proses pengiriman cepat, dapet harga murah pas bookcarnaval.",Positive,Happy
Books,Segala - galanya Ambyar -Sebuah Buku tentang harapan,Jakarta Timur,90000,4.9,775,453,4,Sesuai deskripsi tapi pemrosesan untuk dikirim lama,Positive,Happy
Books,Komik One Piece 95 by Eiichiro Oda,Jakarta Barat,22400,5.0,439,308,5,"mantab, pengiriman cepat, packaging terbaik.",Positive,Love
Books,The Psychology of Money - Morgan Housel,Kota Bogor,75000,5.0,1245,731,4,"buku sedikit cacat di bagian kertas, tapi overall mantap",Positive,Happy
Books,Buku Filosofi Teras - Original,Jakarta Barat,78400,5.0,1296,741,5,pengemasan cepat dan datang nya juga cepat. thank you seller and kurir,Positive,Happy
Books,Buku Filosofi Teras - Original,Jakarta Barat,78400,5.0,1296,741,4,barang tiba dengan cepat sesuai standar pengiriman. tapi untuk kondisi buku ada cacat di tepi buku. tapi gapapa,Positive,Happy
Books,Laut Bercerita,Jakarta Timur,100000,4.9,1089,575,5,"pengiriman cepat, adminnya responsif, buku kualitas bagus banget.",Positive,Love
Books,Laut Bercerita,Jakarta Timur,100000,4.9,1089,575,4,"bukunya sampai dengan selamattt, tapi sayang banget di beberapa sudutnya ada sedikit damage",Positive,Happy
Books,THE THINGS YOU CAN SEE ONLY WHEN YOU SLOW DOWN,Kota Semarang,125000,4.8,285,150,5,pengiriman cepat sampai dan baik,Positive,Happy
Books,THE THINGS YOU CAN SEE ONLY WHEN YOU SLOW DOWN,Kota Semarang,125000,4.8,285,150,4,"Buku sampai dengan kondisi aman dan baik, pengemasan dan pengiriman lumayan lama",Positive,Happy
Books,Buku mommyclopedia - 78 resep mpasi ( full color ),Jakarta Pusat,40000,5.0,415,189,5,"barang nya cepat sampai, dan nyampe di tangan aq dalam keadaaan baik, tulisan nya juga jelas banget, dan berwarna jadi ga bosen liat nya",Positive,Happy
